hospital_name,city,county,state,zip_code,address,hospital_type,System,Beds,link_financial_assistance,financial_assistance_info,fap_link,policy_available,qualifying_incom_free_care,qualifying_incom_discounted_care,asset_test,provision_for_medical_bill,residency_restriction,reports_unpaid_bills,uses_third_party,sells_debt,sues_patients,garnishes_wages,restricts_care,
MEMORIAL HOSPITAL - SHILOH,BELLEVILLE,St Clair,IL,62220,4500 MEMORIAL DRIVE,Other not-for-profit (including NFP Corporation),BJC Healthcare,217,No,Yes,BJC27328_FinancialAssistanceBrochure_SPH,BJC FAP Collection Policy_2019.pdf,"Below 200% FPL, according to Income and Discount Schedule","200-600% FPL, according to Income and Discount Schedule",No,,Yes (IL),Yes,Yes,,Yes,"Not mentioned in the billing and collection policy, but not a practice of the hospital, according to Laura High","Not mentioned in the billing and collection policy, but not a practice of the hospital, according to Laura High",
SARAH BUSH LINCOLN HEALTH CENTER,MATTOON,Coles,IL,61938,1000 HEALTH CENTER DRIVE P O BOX 372,Other not-for-profit (including NFP Corporation),Sara Bush Lincoln,132,Yes,Yes,Financial Assistance Program (sarahbush.org),B & C information is included in the Financial Assistance Policy,At or below 190% FPL per the Financial Assistance Policy,191-399% FPL per the Financial Assistance Policy,"No, not mentioned in the Financial Assistance Policy, but this is not a practice of the hospital per Jody Ruff","Yes, the patient bill is discounted to 15% annual Family Income for >190% FPL per Financial Assistance Policy ",No restriction per the Financial Assistance Policy,"Yes, when collections are delegated to a collection agency per Financial Assistance policy",Yes perthe Financial Assistance Policy,"No, not mentioned in the FAP and not a practice of hospital according to  Jody Ruff","Yes, when collections are delegated to a collection agency per Financial Assistance policy","No, not mentioned in the FAP and not a practice of hospital according to  Jody Ruff",No per the Financial Assistance Policy,
UW HEALTH SWEDISHAMERICAN HOSPITAL (UW Health SwedishAmerican Hospital),ROCKFORD,Winnebago,IL,61107,1401 EAST STATE STREET,Other not-for-profit (including NFP Corporation),UW Health,281,No,Yes,Most current policy template please use (swedishamerican.org),Microsoft Word - Patient Billing and Collections Policy.docx (swedishamerican.org),At or below 300% FPL per Financial Assistance Policy,301-600% FPL per the Financial Assistance Policy,"Yes, per the Financial Assistance Policy","Yes, per the Financial Assistance Policy if family income is < 600% FPL, 25% is the maximum amount the hospital will seek to collect. Any patient that has medical bills totaling over 50% of their income are also eligible for large one-time discounts.","Yes, patients must have primarily resided in the Eligibility Area for at least a year, according to the Financial Assistance Policy. SwedishAmerican Hospital may, in its sole discretion, opt to provide financial assistance under special circumstances (e.g., the service can be provided only by SwedishAmerican Hospital medical staff/technology) according to Sara Vinson Benzel.",Yes per the Billing and Collections policy,Yes per the Billing and Collections policy,"No,  not mentioned in the policies and this is not a practice of the hospital per Sara Vinson Benzel",Yes per the Billing and Collections policy; however this practice has been put on hold during the COVID-19 pandemic per Sara Vinson Benzel,Yes per the Billing and Collections policy; however these practices have been put on hold during the COVID-19 pandemic per Sara Vinson Benzel,"Yes, SwedishAmerican Hospital may defer care or require prepayment before providing additional medically necessary (but non-emergent) care according to the Billing and Collections policy according to Sara Vinson Benzel",
FAIRFIELD MEMORIAL HOSPITAL ,FAIRFIELD,Wayne,IL,62837,303 N W 11TH STREET,Other not-for-profit (including NFP Corporation),No,55,Yes,No,Financial-Assistance-policy.doc (live.com),"No (Available to patients upon request, according to Mary Knight)",At or below 200% FPL per the Financial Assistance Policy,201-300% FPL per the Financial Assistance Policy,"No, not mentioned in the policy and the hospital does not use an asset test to determine financial assistance eligibility according to Mary Knight","Yes, for IL residents: 100% off charges for Medically Necessary Services exceeding $300.00; also, discount based upon hospital's cost-charge ratio according to the Financial Assistance Policy","Yes; FA available to patients who reside in Wayne, WHite and Edwards counties in IL. according to the FAP","Yes, not mentioned in the Financial Assistance Policy and this is a practice of the hospital according to Mary Knight","Yes, not mentioned in the Financial Assistance Policy and this is a practice of the hospital according to Mary Knight","No, not mentioned in the Financial Assistance Policy, and not a practice of the hospital, according to Mary Knight","Yes, not mentioned in the Financial Assistance Policy and it is a practice of the hopsital to sue patients over unpaid bills in Small Claim court, according to Mary Knight","No, not mentioned in the Financial Assistance Policy, and not a practice of the hospital, according to Mary Knight","No, not mentioned in the Financial Assistance Policy and it is not a practice of the hospital to restrict non-emergent care for patients with unpaid bills, according to Mary Knight",
CARLE HOOPESTON REGIONAL HEALTH CENTER,HOOPESTON,Vermilion,IL,60942,701 EAST ORANGE STREET,Other not-for-profit (including NFP Corporation),Carle Health,13,Yes,Yes,https://carle.org/getmedia/b6e4d53b-2d93-4052-8fc9-862f01731406/AD337(1).pdf,https://carle.org/getmedia/add2044a-4eeb-4ff6-bbd9-6295e2305d50/AD336.pdf,At or below 200% FPL per the Financial Assistance Policy,"50% discount for income 201-300% FPL     Up to 400% FPL, expenses (per year) capped at 40% per the Financial Assistance Policy",Yes per Financial Assistance application,No not mentioned in the policies but not a practice of the hospital per Brittany Simon,No not mentioned in the policies but not a practice of the hospital per Brittany Simon,"Yes, the hospital authorizes third-party collection agencies to report, per the Billing and Collections policy",Yes  per the Billing and Collections policy,"No, not mentioned in the poslicies and not a practice of the hospital per Brittany Simon","Yes, the hospital authorizes third-party collection agencies to sue, per Brittany Simon","Liens: no, not mentioned in the policy and not a practice of the hospital per Brittany Simon

Wage Garnishment: yes, not mentioned in the policies and it is a practice of the hospital to authorize a third party collection agency to garnish wages, per Brittany Simon ",No not mentioned in the policies but not a practice of the hospital per Brittany Simon,
Mercyhealth Hospital and Medical Center - Harvard,HARVARD,McHenry,IL,60033,901 S GRANT STREET,Other not-for-profit (including NFP Corporation),Mercyhealth,58,Yes,Yes,https://mercyhealthsystem.org/wp-content/uploads/2021/12/Mercy-Health-Financial-Assistance-Policy-12_21_2021.pdf,Billing-Collection-Policy.pdf (mercyhealthsystem.org),At or below 200% FPL (FAP p 4 B)),201-300% FPL reduced using a sliding scale (FAP p 4 B)),Yes per FInancial Assistance app,none mentioned except HUPDA,Yes; restricted to residents of the MercyHealth service area per the FAP,Yes per the Billing and Collections policy,Yes per the Billing and Collections policy,"Yes, allowed by policy, though not currently done, per the Billing and Collections policy",Yes per the Billing and Collections policy,Yes per the Billing and Collections policy,Yes per the Billing and Collections policy,
WESTLAKE HOSPITAL,MELROSE PARK,Cook,IL,60160,1225 LAKE ST,,,,,,,,,,,,,,,,,,,
NORTHWEST HEALTH-LA PORTE,LA PORTE,,IN,,1331 STATE STREET,"Corporation, Investor-owned, for-profit","Community Health Systems, Inc",91,No,Yes,No publicly available policy,No,"No available policy, but below 100% FPL, according to spokeswoman Rebecca Pitt","No available policy, but 100-400% FPL, for uninsured only, according to spokeswoman Rebecca Pitt","Yes, according to website","No policy, but hospital may grant relief in some cases, according to spokeswoman Rebecca Pitt","No, according to spokeswoman Rebecca Pitt","No available policy, but is a practice of the hospital, according to spokeswoman Rebecca Pitt","No available policy, but is a practice of the hospital, according to spokeswoman Rebecca Pitt","No available policy, but is not a practice of the hospital, according to spokeswoman Rebecca Pitt","No available policy, but is a practice of the hospital, according to spokeswoman Rebecca Pitt","No available policy, but is a practice of the hospital, according to spokeswoman Rebecca Pitt","No available policy, but is not a practice of the hospital, according to spokeswoman Rebecca Pitt",
LUTHERAN HOSPITAL OF INDIANA,FORT WAYNE,,IN,,7950 W JEFFERSON BLVD,"Corporation, Investor-owned, for-profit","Community Health Systems, Inc",407,No,Yes,No,No,"No available policy, but below 100% FPL, according to spokeswoman Rebecca Pitt","No available policy, but 100-400% FPL, for uninsured only, according to spokeswoman Rebecca Pitt","Yes, according to website","No policy, but hospital may grant relief in some cases, according to spokeswoman Rebecca Pitt","No, according to spokeswoman Rebecca Pitt","No available policy, but is a practice of the hospital, according to spokeswoman Rebecca Pitt","No available policy, but is a practice of the hospital, according to spokeswoman Rebecca Pitt","No available policy, but is not a practice of the hospital, according to spokeswoman Rebecca Pitt","No available policy, but is a practice of the hospital, according to spokeswoman Rebecca Pitt","No available policy, but is a practice of the hospital, according to spokeswoman Rebecca Pitt","No available policy, but is not a practice of the hospital, according to spokeswoman Rebecca Pitt",
HANCOCK REGIONAL HOSPITAL,GREENFIELD,,IN,,801 N STATE ST,"County, Government, non-federal",No,68,No,Yes,Policy-310-032019-3.pdf (hancockregionalhospital.org),Included in FAP Attachment C,Below 150% FPL per Financial Assistance policy,151-300% FPL per Financial Assistance Policy,"No; not mentioned in the Financial Assistance Policy, but it is not a practice of the hospital per Jon Miller","Yes, the size of the bill is considered using a Medical Debt to Income ratio per the Financial Assistance Policy","No; not mentioned in the Financial Assistance Policy, but residency restriction is not a hospital practice per Jon Miller","Yes; not explicitly mentioned in the Financial Assistance policy, but this hospital practice is included in the 'general bad debt policy' per Jon Miller","Yes, per the Financial Assistance Policy","No; not mentioned in the FAP, but it is not a practice of the hospital per Jon Miller","No; not mentioned in the FAP, but it is not a practice of the hospital per Jon Miller","Wage Garnishment: Yes; not mentioned in the FAP, but this is a hospital pracice per Jon Miller

Liens: No; not mentioned in the FAP but this is not a hospital practice per Jon Miller","No, not mentioned in the Financial Assistance Policy, but this is not a practice of the hospital except for elective surgery, per Jon Miller",
RIVERVIEW HEALTH,NOBLESVILLE,,IN,,395 WESTFIELD RD,"County, Government, non-federal",Riverview Health,176,No,Yes,patient-financial-assistance-program.pdf (riverview.org),billing-and-collections-information.pdf (riverview.org),<200% FPL per FAP,201-400% FPL per FAP,No per FAP,"Yes; for FPL 250-400% Patients will be eligible for a discount of total 
charges plus a cap on their total patient liability for a single visit at 
10% of their gross annual (calculated or anticipated) income. per FAP","Yes;  FA restricted to residents of 
Hamilton County and the geographic area served by Riverview Health - per FAP",Yes per Billing and Collections policy,Yes per Billing and Collections policy,Yes per Billing and Collections policy,Yes per Billing and Collections policy,"Yes, not mentioned in the policies but this is a practice of the hopsital per Brandy Hill","No, not mentioned in the policies and this is not a practice of the hospital per Brandy Hill",
RUSH MEMORIAL HOSPITAL,RUSHVILLE,,IN,,1300 N MAIN ST,"County, Government, non-federal",No,25,No,No,No,No,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,
WOODLAWN HOSPITAL,ROCHESTER,,IN,,1400 E 9TH ST,"County, Government, non-federal",No,25,Yes,Yes,compassionate_care_policy_2021.pdf (woodlawnhospital.com),Information included in Compassionate Care Policy (FAP),At or below 200% per the Compassionate Care Policy (Financial Assistance Policy),201-275% FPL per the Compassionate Care Policy and the *Woodlawn Poverty Guidelines,"Yes, per the Compassionate Care Policy","No, not mentioned in the Compassionate Care Policy and not a practice of the hospital per Daniel Burtnett","No, not mentioned in the Compassionate Care Policy and not a practice of the hospital per Daniel Burtnett",Yes. per the Compassionate Care policy,Yes. per the Compassionate Care policy,"No, not mentioned in the Compassionate Care Policy but not a practice of the hospital per Daniel Burtnett",Yes. per the Compassionate Care policy,Yes. per the Compassionate Care policy,"No, not mentioned in the Compassionate Care Policy but not a practice of the hospital per Daniel Burtnett",
ASCENSION ST VINCENT CARMEL,CARMEL,,IN,,13500 N MERIDIAN ST,Other not-for-profit (including NFP,Ascension,121,Yes,Yes,https://healthcare.ascension.org/-/media/project/ascension/healthcare/legacy/markets/indiana/st-vincent/documents/fin-aid/501r-charity-policy/en/runningfile_eng_carmel_501r-charity-policy.pdf,runningfile_eng_carmel_billing-and-collection-policy.pdf (ascension.org),Less than 250% FPL,250-400% FPL,Yes,"Yes, for patients with bills greater than annual income","yes, within geographic service area of hospital",Yes,Yes,Yes,Yes,Yes,Yes,
SAINT JOSEPH HEALTH SYSTEM,MISHAWAKA,,IN,,5215 HOLY CROSS PKWY,Other not-for-profit (including NFP Corporation),Trinity Health,300,Yes,Yes,sjhs-opp-06-10-01-billing-collection-and-financial-support-for-patients-with-payment-obligation-policy-june-18-2021.docx (live.com),same as FAP, below200% FPL,201-400% FPL,"Yes, in FA application",,"Yes, within SJHS service area",Yes,Yes,,Yes,Yes,,
ST MARY MEDICAL CENTER,HOBART,,IN,,1500 S LAKE PARK AVE,Other not-for-profit (including NFP Corporation),Community Healthcare System,200,No,Yes,TITLE: (comhs.org),Information is included in the Financial Assistance Policy,At or below 200% FPL per Financial Assistance policy,201-300% FPL per the Financial Assistance policy,"Yes, per the Financial Assistance policy",Unclear; no information available on the website nor in the Financial Assistance Policy,Unclear; no information available on the website nor in the Financial Assistance Policy,"Yes, per the Financial Assistance policy","Yes, per the Financial Assistance policy",Unclear; no information available on the website nor in the Financial Assistance Policy,"Yes, per the Financial Assistance policy","Yes, per the Financial Assistance policy",Unclear; no information available on the website nor in the Financial Assistance Policy,
REID HOSPITAL & HEALTH CARE SERVICES,RICHMOND,,IN,,1100 REID PKWY,Other not-for-profit (including NFP Corporation),Reid Health,261,No,Yes,reidhealthorg_734831331.pdf (dynamix-cdn.s3.amazonaws.com),reidhealthorg_166268086.pdf (octanecdn.com),"At or below 200% FPL, patients qualify for free care for 1 year per Jason Troutwine",Discounted care not mentioned on the website; attempted clarification from POC,Yes; not mentioned in the policies but this is a practice of the hospital per Jason Troutwine,"Yes; per the FInancial Assistance Policy, when the patient's charges exceed 50% of their annual income, regardless of their % FPL, the patient is considered for catastrophic assistance",No; not mentioned in the policies but not a practice of the hospital per Jason Troutwine,No; not mentioned in the policies but not a practice of the hospital per Jason Troutwine,"Yes, per the Billing and Collections policy",No; not mentioned in the policies but not a practice of the hospital per Jason Troutwine,Yes per the Billing and Collections policy,Yes per the Billing and Collections policy,"Not mentioned in the policies and ""Reid reserves the right to restrict non-emergent care for those who choose not to work with our Patient Financial Navigator team on designing a plan to pay their bill."" per Jason Troutwine",
COMMUNITY HOSPITAL EAST,INDIANAPOLIS,,IN,,1500 N RITTER AVE,Other not-for-profit (including NFP Corporation),Community Health Network,181,No,Yes,Financial Assistance Program (ecommunity.com),Billing and Collection (ecommunity.com),At or below 200% FPL per the Financial Assistance Table 2022 on the hospital website,201-300% FPL per the Financial Assistance Table 2022 on the hospital website,"Yes, not mentioned in the FAP but assets are considered when determining catastrophic qualification, according to Kris Kirschner ","Yes, patients whose income exceeds 300% FPL with a catastrophic medical event may be granted financial assistance at Community Health Network's sole discretion per the Financial Assistance Policy","Yes, although not mentioned in the Financial Assistance Policy, patients must reside in the state of Indiana to be eligible for hospital financial assistance according to Kristina Kirschner",Yes per the Billing and Collections Policy,Yes per the Billing and Collections Policy,"No, not mentioned in the policies and not a practice of the hospital per Kris Kirschner",Yes per the Billing and Collections Policy,"Yes, not mentioned in the policies and the use of liens and wage garnishment are practices of the hospital per Kris Kirschner","No, not mentioned in the Financial Assistance Policy and non-emergent services are provided regardless of unpaid medical bills, except for some elective procedures (e.g., cosmetic surgery) according to Kristina Kirschner",
INDIANA UNIVERSITY HEALTH ARNETT HOSPITAL,LAFAYETTE,,IN,,5165 MCCARTY LN,Other not-for-profit (including NFP Corporation),Indiana University Health,192,"Yes, under ""pay a bill"" tab",Yes,FAP-2022-SIgned-Final-Ver.pdf (iuhealth.org),"Not available online, summary included in FAP",200-300% FPL (depending on size of household),Not mentioned in the policy and there is no discounted care according to Jeff Swiatek,Yes,"Yes, if charges exceed 20% of annual income",Yes (Indiana),Yes,Yes,"Yes, but not a practice of the hospital, according to Jeff Swiatek","Yes, in very rare and specific cirmstances, according to Jeff Swiatek",Yes,"Yes, but not a practice of the hospital, according to Jeff Swiatek",
FAIRBANKS,INDIANAPOLIS,,IN,,8102 CLEARVISTA PARKWAY,Other not-for-profit (including NFP Corporation),Community Health Network,86,No,Yes,Financial Assistance Program (ecommunity.com),Billing and Collection (ecommunity.com),At or below 200% FPL per the Financial Assistance Table 2022 on the hospital website,201-300% FPL per the Financial Assistance Table 2022 on the hospital website,Financial Assistance Program (ecommunity.com),"Yes, patients whose income exceeds 300% FPL with a catastrophic medical event may be granted financial assistance at Community Health Network's sole discretion per the Financial Assistance Policy","Yes, ""community restricted financial assistance to only those patients in the zip codes within Indiana where services are provided. Financial assistance is currently offered to all residents in the state of Indiana according to the Financial Assistance Policy",Yes per the Billing and Collections Policy,Yes per the Billing and Collections Policy,"No, not mentioned in the policies and not a practice of the hospital per Kris Kirschner",Yes per the Billing and Collections Policy,"Yes, not mentioned in the policies and the use of liens and wage garnishment are practices of the hospital per Kris Kirschner","No, not mentioned in the Financial Assistance Policy and non-emergent services are provided regardless of unpaid medical bills. with the exception of some elective procedures (e.g. cosemtic surbery) according to Kris Kirschner
",
COMMUNITY HOSPITAL OF BREMEN INC,BREMEN,,IN,,1020 HIGH RD,Other not-for-profit (including NFP Corporation),Beacon Health System,21,No,Yes,https://www.beaconhealthsystem.org/wp-content/uploads/2021/03/Financial_Assistance_Policy_for_the_Community_Hospital_of_Bremen-09-2020.pdf,included in FAP,at or below 200% FPL per the Financial Assistance policy,201-350% FPL per the Financial Assistance policy,"Yes, per the Financial Assistance policy","Yes; uninsured patients will have 35% off gross charges, per the Financial Assistance policy",not mentioned in the policies or on the website,Yes per the Financial Assistance policy,Yes per the Financial Assistance policy,Yes per the Financial Assistance policy,Yes per the Financial Assistance policy,Yes per the Financial Assistance policy,No per the Financial Assistance policy,
INDIANA UNIVERSITY HEALTH PAOLI HOSPITAL,PAOLI,,IN,,642 W HOSPITAL RD,Other not-for-profit (including NFP Corporation),Indiana University Health,24,"Yes, under ""pay a bill"" tab",Yes,FAP-2022-SIgned-Final-Ver.pdf (iuhealth.org),"Not available online, summary included in FAP",200-300% FPL (depending on size of household),Not mentioned in the policy and there is no discounted care according to Jeff Swiatek,Yes,"Yes, if charges exceed 20% of annual income",Yes (Indiana),Yes,Yes,"Yes, but not a practice of the hospital, according to Jeff Swiatek","Yes, in very rare and specific cirmstances, according to Jeff Swiatek",Yes,"Yes, but not a practice of the hospital, according to Jeff Swiatek",
INDIANA UNIVERSITY HEALTH WHITE MEMORIAL HOSPITAL,MONTICELLO,,IN,,720 SOUTH SIXTH ST,Other not-for-profit (including NFP Corporation),Indiana University Health,25,"Yes, under ""pay a bill"" tab",Yes,FAP-2022-SIgned-Final-Ver.pdf (iuhealth.org),"Not available online, summary included in FAP",200-300% FPL (depending on size of household),Not mentioned in the policy and there is no discounted care according to Jeff Swiatek,Yes,"Yes, if charges exceed 20% of annual income",Yes (Indiana),Yes,Yes,"Yes, but not a practice of the hospital, according to Jeff Swiatek","Yes, in very rare and specific cirmstances, according to Jeff Swiatek",Yes,"Yes, but not a practice of the hospital, according to Jeff Swiatek",
MARGARET MARY COMMUNITY HOSPITAL INC,BATESVILLE,,IN,,321 MITCHELL AVE,Other not-for-profit (including NFP Corporation),Margaret Mary Health,25,Yes,Yes,Financial-Assistance-Policy-2021-2.pdf (mmhealth.org),https://www.mmhealth.org/wp-content/uploads/Patient-Collections.pdf,At or below 200% FPL; per Financial Assistance policy,201-300% FPL; per Financial Assistance policy,Yes; per Financial Assistance application,"No; not mentioned in the Financial Assistance or Billing and Collections policies, and not a practice of the hospital, according to Kelle Humphries","No; not mentioned in the Financial Assistance or Billing and Collections policies, and not a practice of the hospital, according to Kelle Humphries",Yes per the Billing and Collections policy,Yes per the Billing and Collections policy,Yes per the Billing and Collections policy,Yes per the Billing and Collections policy,Yes per the Billing and Collections policy,Yes per the Billing and Collections policy,
KANSAS HEART HOSPITAL,WICHITA,,KS,,3601 NORTH WEBB ROAD,"Corporation, Investor-owned, for-profit",No,54,No,No search function,Unable to find on the website,Unable to find on the website,"250% FPL, per Cassie Dolen",251-399% FPL per Cassie Dolen,"Yes, no available policy, but it is a practice of the hospital to apply an asset test per Cassie Dolen","No, no avail policy, but not a practice of the hospital per Cassie Dolen","No, no avail policy, but not a practice of the hospital per Cassie Dolen","No, no avail policy, but not a practice of the hospital per Cassie Dolen","Yes, no available policy, but it is a practice of the hospital to apply an asset test per Cassie Dolen","No, no avail policy, but not a practice of the hospital per Cassie Dolen","Yes, no available policy, but it is a practice of the hospital to apply an asset test per Cassie Dolen","Yes, no available policy, but it is a practice of the hospital to apply an asset test per Cassie Dolen","Yes, no available policy, but it is a practice of the hospital to apply an asset test per Cassie Dolen",
WICHITA COUNTY HEALTH CENTER,LEOTI,,KS,,211 E EARL STREET,"County, Government, non-federal","                               Great Plains Alliance, Inc.",42,No,No,No,No,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,
EDWARDS COUNTY HOSPITAL,KINSLEY,,KS,,620 WEST EIGHTH STREET,"County, Government, non-federal",No,22,Yes,No search function,Financial assistance.pdf (edcomed.com),Billing collections.pdf (edcomed.com),At or below 100% FPL per Rebecca Venters,101-149% FPL (sliding scale)per Rebecca Venters,"Yes, not mentioned in the policies, but included on the Financial Assistance application, and this is a practice of the hospital per Rebecca Venters","Yes, not mentioned in the policies and no standards specified but this is a practice of the hospital per Rebecca Venters","Yes, only Edwards County residents are eligible for financial assistance; not mentioned in the policies, but this is a practice of the hospital per Rebecca Venters","Yes, not mentioned in the policies but this is a practice of the hospital per Rebecca Venters","Yes, not mentioned in the policies but this is a practice of the hospital per Rebecca Venters","No, not mentioned in the policies but this is not a practice of the hospital per Rebecca Venters","Yes, not mentioned in the policies but this is a practice of the hospital per Rebecca Venters","Yes, not mentioned in the policies but this is a practice of the hospital per Rebecca Venters","No, not mentioned in the policies but this is not a practice of the hospital per Rebecca Venters",
LINCOLN COUNTY HOSPITAL,LINCOLN,,KS,,624 N SECOND,"County, Government, non-federal",No,14,No,No,No,No,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,
PATTERSON HEALTH CENTER,ANTHONY,,KS,,485 N. KS HWY 2,"Hospital district or authority-Government, non-federal",No,25,Yes,No search function,http://pattersonhc.org/sites/default/files/summary_of_uncompensated_care_policy.pdf,https://docs.google.com/document/d/1oVXjKUAyljP2XAXNPhMQGqET1qHoSQ37/edit?usp=sharing&ouid=104823230229410291386&rtpof=true&sd=true,At or below 125% FPL; per Uncompensated Care policy,126-200% FPL per Uncompensated Care policy,No; not mentioned in the policies but not a practice of the hospital per Lori Allen,No; not mentioned in the policies but not a practice of the hospital per Lori Allen,No; not mentioned in the policies but not a practice of the hospital per Lori Allen,"Yes, per the Payment Plan Alternatives and Collections policy","Yes, per the Payment Plan Alternatives and Collections policy",not mentioned,not mentioned,not mentioned,not mentioned,
MINNEOLA DISTRICT HOSPITAL,MINNEOLA,,KS,,212 MAIN,"Hospital district or authority-Government, non-federal",No,50,No,Yes,No,No,,,,,,,,,,,,
PRATT REGIONAL MEDICAL CENTER,PRATT,,KS,,200 COMMODORE ST,Other not-for-profit (including NFP Corporation),No,80,No,No,No,N0,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,Unclear; no available policy,
CLARA BARTON HOSPITAL,HOISINGTON,,KS,,250 W 9TH STREET,Other not-for-profit (including NFP Corporation),No,23,No,Yes,Purpose (clarabartonhospital.com),Billing-and-Collections-Policy.pdf (clarabartonhospital.com),Below 150% FPL per the Financial Assistance Policy,150-300% FPL per the Financial Assistance Policy,"Yes, per the Financial Assistance Policy","Yes, per the Financial Assistance Policy, patients with catastrophic illness and charges > 35% of their annual income, can receive financial assistance, regardless of their income",None mentioned,"Yes, per the Billing and Collections policy","Yes, per the Billing and Collections policy",Not mentioned in the policies or on the website,Not mentioned in the policies or on the website,Not mentioned in the policies or on the website,Not mentioned in the policies or on the website,
"PINNACLE REGIONAL HOSPITAL, INC",OVERLAND PARK,,KS,,12850 METCALF AVENUE,,,,,,,,,,,,,,,,,,,
CHI SAINT JOSEPH HEALTH,LEXINGTON,,KY,,ONE SAINT JOSEPH DRIVE,"Church-operated, Non-government, not-for-profit",CommonSpirit Health,307,No,yes,en_fap_chi_saint_joseph_health_saint_joseph_all_locations (4).pdf,en_billing_and_collections_policy.pdf,<200% FPL,201-400% FPL,Yes,Yes,None mentioned,Yes,Yes,Yes,"Yes. Allowed by policy, but not a practice of the hospital, according to Dan Loeterman","Not mentioned in policy, but is not a practice of the hospital, according to Dan Loeterman","Not mentioned in policy, but is not a practice of the hospital, according to Dan Loeterman",
SPRING VIEW HOSPITAL,LEBANON,,KY,,320 LORETTO ROAD,"Corporation, Investor-owned, for-profit",LifePoint Health,60,No,No,No,No,"No, no public policy, but not a practice of the hospital, according to Michelle Augusty","No, no public policy, but not a practice of the hospital, according to Michelle Augusty","No, no public policy, but not a practice of the hospital, according to Michelle Augusty","No, no public policy, but not a practice of the hospital, according to Michelle Augusty","No, no public policy, but not a practice of the hospital, according to Michelle Augusty","No, no public policy, but not a practice of the hospital, according to Michelle Augusty","Yes, no public policy, but is a practice of the hospital, according to Michelle Augusty","Yes, no public policy, but is a practice of the hospital, according to Michelle Augusty","No, no public policy, but not a practice of the hospital, according to Michelle Augusty","No, no public policy, but not a practice of the hospital, according to Michelle Augusty","No, no public policy, but not a practice of the hospital, according to Michelle Augusty",
MIDDLESBORO ARH HOSPITAL,MIDDLESBORO,,KY,,3600 WEST CUMBERLAND AVENUE,Other not-for-profit (including NFP Corporation),"Appalachian Regional Healthcare, Inc",46,Yes,No search function,FinancialAssistancePolicy.pdf (arh.org),No; referred to in FAP,,,,Uninsured patients receive a discount of up to 40%  billed charges per Financial Assistance Policy,,Yes per the Financial Assistance policy,Yes per the Financial Assistance policy,,Yes per the Financial Assistance policy,Yes per the Financial Assistance policy,,
BAPTIST HEALTH LOUISVILLE,LOUISVILLE,,KY,,4000 KRESGE WAY,Other not-for-profit (including NFP Corporation),Baptist Health,500,No,Yes,"Financial Assistance, Billing, and Collections (baptisthealth.com)",This information is included in Financial Assistance Policy,At or below 300% FPL per the Financial Assistance policy,301-1200% FPL; those with an income above 1200% of FPL also receive discounted care at a different tier.per the Financial Assistance policy,"Yes, not mentioned in the policies and this is a practice of the hospital per Kit Fullenlove Barry","Yes, not mentioned in the policies and this is a practice of the hospital per Kit Fullenlove Barry","No, not mentioned in the policy and not a practice of the hospital per Kit Fullenlove Barry",Yes per the Financial Assistance policy,Yes per the Financial Assistance policy,"No, per the Financial Assistance policy",Yes per the Financial Assistance policy,"Yes per the Financial Assistance policy, wage garnishments may be used, liens are only placed on estates per Kit Fullenlove Barry","No, not explicitly mentioned in the policy and not a practice of the hospital per Kit Fullenlove Barry",
Ephrain McDowell JAMES B. HAGGIN HOSPITAL,HARRODSBURG,,KY,,464 LINDEN AVENUE,Other not-for-profit (including NFP Corporation),Ephrain McDowell Health,25,Yes,Yes,Financial-Assistance-Program-Policy-Approved-05-26-20.pdf (emhealth.org),Billing-and-Collections-Policy-Approved-03-21-19.pdf (emhealth.org),At or below 125% FPL per the Financial Assistance policy ,126-300% FPL per the Financial Assistance policy,"Yes, per the Financial Assistance policy","No; not mentioned in the policies, and this is not a hospital practice per Jeremy Cocanaugher","No; not mentioned in the policies, and this is not a hospital practice per Jeremy Cocanaugher","Yes, per the Billings and Collections policy","Yes, per the Billings and Collections policy","No; not mentioned in the policies, but this is not a hospital practice per Jeremy Cocanaugher","Yes, per the Billings and Collections policy","Yes, per the Billings and Collections policy","No, not mentioned in the policies, but is not a practice of the hospital except for elective or cosmetic in nature per Jeremy Cocanaugher",
